country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Indonesia,4.20946383402165,24.5029116862832,5.30719722664799,4730.83484836107,,100.64499288828,0.863943338394165,92.0,2.69394851,35.5,3.462,70.925,278830529.0
"Iran, Islamic Rep.",43.4884641742179,26.8158865548081,3.77663140152906,4405.09291519791,88.9599990844727,,3.06036734580994,99.0,5.34889174,34.8,9.085,76.799,89524246.0
Iraq,4.99476596381044,44.5259462145341,7.95904804992662,6520.73154560584,,,,97.0,4.29332495,,15.511,72.037,44070551.0
Ireland,7.82945736434105,136.684440145681,8.61950345618772,105234.511567597,,99.6199417114258,,90.0,6.11978531,29.9,4.501,82.509756097561,5212836.0
Isle of Man,,,-4.16539345213232,88328.548125887,,,,,,,,80.956,84132.0
Israel,4.40997851069803,31.3853280968641,6.26326343841286,54949.621556429,,96.3125686645508,6.45624446868896,98.0,7.34161806,,3.695,82.7,9557500.0
Italy,8.20128991161718,35.0991400412578,4.82117669913565,35653.9042103495,,101.56453704834,,94.0,9.02753067,33.7,8.069,82.7,59013667.0
Jamaica,10.3495688391272,,5.22151985159613,6022.15339791763,,90.7408676147461,5.35435009002686,91.0,7.77706337,,4.083,71.481,2839144.0
Japan,2.49770278172255,21.5464241239166,0.941998775483285,34065.6438962526,,102.158706665039,3.23762130737305,98.0,11.42183685,,2.6,83.9963414634146,125124989.0
Jordan,4.22915568897117,42.5374671563433,2.64743514912058,4332.25159897931,,98.5412673950195,3.16022992134094,86.0,6.82820034,,18.2,77.088,11256263.0
Kazakhstan,15.0278644440851,41.5690089041544,3.19999999970734,11255.3396437881,,100.91126377966,4.45820236206055,99.0,3.74026752,,4.86,73.503,20034609.0
Kenya,7.65986268272224,12.1919692160845,4.85998104287999,2109.56288513137,82.879997253418,,4.51101779937744,89.0,4.32603645,,5.707,63.549,54252461.0
Kiribati,5.34595440908904,7.60658075917655,4.56632593100372,2069.76720110559,,98.4846115112305,,85.0,10.49855042,,,66.269,130469.0
"Korea, Dem. People's Rep.",,,,,,,,67.0,,,2.805,73.641,26328845.0
"Korea, Rep.",5.08951365062842,48.2717642210409,2.61267219187226,32394.6833725203,,99.0333633422852,,97.0,9.43414211,,2.857,82.6804878048781,51672569.0
Kosovo,11.5805104542012,38.6256570148792,4.27849895827543,5290.94747224687,,,,,,,,77.623,1768096.0
Kuwait,3.98064961990313,60.4485945397978,6.75866704650672,39981.7690981957,,,6.58236503601074,99.0,4.26875782,,2.174,80.5878048780488,4589643.0
Kyrgyz Republic,13.9229093174176,46.3372718307792,8.96750520041391,1739.72018344174,,94.1910529601431,7.1688437461853,94.0,4.92258883,26.4,4.043,72.0487804878049,6975220.0
Lao PDR,22.9562225132056,,2.70742652643155,2046.40440255621,87.5199966430664,97.2226134363857,1.46083438396454,76.0,2.01825476,,1.209,68.715,7559007.0
Latvia,17.3102830198815,77.4780077659979,1.80677198008065,20227.2307431581,,99.41796875,,96.0,7.62168407,33.7,6.815,74.2780487804878,1879383.0
Lebanon,171.205491336641,34.8287792460469,-0.621678970663112,3654.35845534878,,,,67.0,5.73500204,,11.6,78.003,5744489.0
Lesotho,8.27180389943028,46.5063823361123,2.38778020186284,1030.12579628833,82.0100021362305,88.6117800268315,6.43347549438477,81.0,12.65127754,,16.688,56.812,2286110.0
Liberia,7.59298486560313,,4.80810517290655,744.617175237387,,67.2317884233233,2.27609586715698,79.0,13.47386169,,2.977,61.934,5373294.0
Libya,4.51030149235703,91.9809235078212,-8.25163004105288,5986.63694851258,,,,73.0,4.65005827,,19.282,74.462,7223805.0
Liechtenstein,,,,186821.881757157,,,,,,,,84.1219512195122,39493.0
Lithuania,19.7050461518394,86.7798492943433,2.53752574011534,25085.784063499,,101.905830383301,,87.0,7.24335003,36.6,5.955,75.6439024390244,2831639.0
Luxembourg,6.33600807777919,222.308456163103,-1.09505351160836,123719.658915996,,99.484260559082,4.70302200317383,99.0,5.55154753,34.1,4.588,82.9463414634147,653103.0
"Macao SAR, China",1.04502802369954,84.3901737400991,-19.6093449325728,36909.9564090312,,84.9676666259766,6.18937015533447,,,,2.482,83.0804878048781,677300.0
Madagascar,8.16059031991844,30.5432948746184,4.15609778380812,503.514533472879,77.4800033569336,138.19226558666,3.13901996612549,44.0,3.25023246,,3.186,63.068,30437261.0
Malawi,20.953969729969,,0.921115069005936,604.269751184515,68.0800018310547,126.426255960703,,82.0,6.50023508,,5.037,66.037,20568728.0
Malaysia,3.37869862549928,76.8501886436659,8.86182187578046,11748.0919307944,96.0,97.7554931318277,3.49933791160583,96.0,3.90591931,,3.93,75.444,34695493.0
Maldives,2.33314337624567,82.6709256667894,13.8260895306814,11786.0091545343,,95.367258247522,4.67344331741333,98.0,9.65276241,,4.419,80.76,524106.0
Mali,9.62147608489064,26.1689671523921,3.5082827896139,969.72220560562,,,4.03505516052246,73.0,3.67284775,,2.387,60.035,23072640.0
Malta,6.15375621933037,128.410459632562,4.26931853012293,36224.2819955817,,93.5346603393555,,96.0,9.52376747,34.6,2.921,82.4487804878049,531113.0
Marshall Islands,,40.8176400947119,-1.11806797853311,6322.82855503156,,105.104331970215,7.54093980789185,81.0,11.73604298,,,66.725,40077.0
Mauritania,9.52526628622843,39.737807822992,6.79600510182286,1960.35240077424,,,2.44024252891541,84.0,4.48389912,,10.531,68.281,4875637.0
Mauritius,10.7737512242898,49.4893047706387,8.69306675264066,10223.7882316574,,,4.84085988998413,98.0,5.82381678,,6.322,73.5146341463415,1262523.0
Mexico,7.8962761916855,42.9460448302063,3.71098893117183,11402.1410374782,,102.004783630371,,86.0,5.72145176,43.5,3.256,73.973,128613117.0
"Micronesia, Fed. Sts.",5.40874375479067,21.7488640698477,-2.90586580595669,3710.12448453257,,91.5278783490224,,69.0,10.34470272,,,66.961,112114.0
Moldova,28.7372976766236,41.2264594544499,-4.60000000000001,5744.29618434435,,106.97324544397,6.11053991317749,84.0,6.96505404,25.9,0.897,71.546,2528654.0
Monaco,,,11.0469394271752,226052.001905201,,,1.17324995994568,88.0,3.39779735,,,85.746,38931.0
Mongolia,15.1479560897226,65.0613511558615,5.0327096366527,4993.51487463495,,95.5634577935822,4.18056726455688,94.0,8.85170174,31.4,6.211,71.9007317073171,3433748.0
Montenegro,13.0403036347004,51.5328616489687,6.40668032879275,9990.20444616996,,105.621368408203,,33.0,10.92241859,,14.851,76.1878048780488,623591.0
Morocco,6.65704202759067,44.8118007632888,1.52720357976111,3455.39624023438,77.3499984741211,114.169990539551,5.91224670410156,99.0,5.68049145,,9.494,75.161,37329064.0
Mozambique,10.2794018093421,49.8269428040417,4.36445074432608,578.251663751351,,121.177581787109,6.16198396682739,63.0,8.77717781,,3.596,63.011,32656246.0
Myanmar,,,4.0374934360085,1158.05005034332,,,,75.0,5.20476246,,3.057,66.506,53756787.0
Namibia,6.08128114112413,40.4584718360428,5.39872476224093,4349.79908493314,,133.527472902537,9.67791175842285,89.0,9.29635525,,19.695,64.19,2889662.0
Nauru,,53.8750427878006,2.9515183463878,12896.4341046481,,94.9424133300781,7.80539798736572,98.0,18.17031097,,,61.93,11801.0
Nepal,7.6507917679853,6.70239086589236,5.6313145568451,1385.91066274851,,118.80395155129,3.61778378486633,90.0,6.65589333,30.0,10.844,70.087,29715436.0
Netherlands,10.0012078753473,96.4436215813729,5.00723455159611,59123.318556487,,104.215446472168,5.05201101303101,89.0,10.10068321,,3.526,81.6146341463415,17700982.0
New Caledonia,,,3.49999999631376,33516.363085906,,,,,,,10.71,77.698,287123.0
New Zealand,7.17222476016441,24.0473873191656,3.49638686458842,48760.0381935936,,96.5572509765625,5.23012018203735,90.0,10.02858067,,3.297,81.9585365853658,5117100.0
Nicaragua,10.4674244465991,49.8957747358309,3.55029945613975,2322.89053964583,,105.435536868371,3.79476308822632,93.0,8.95364857,,4.961,74.463,6730654.0
Niger,4.22621791916392,26.4030742164705,11.9000000000277,609.745147661683,38.0999984741211,68.331413269043,4.10143089294434,65.0,4.35259724,,0.418,60.398,25311973.0
Nigeria,18.8471877843274,,3.25168140827093,2139.37478476974,,,0.348516702651978,60.0,4.27090406,,3.821,54.079,223150896.0
North Macedonia,14.2047173195833,72.785399542204,2.75888415332967,7606.2375253797,,97.4866561889648,,71.0,7.6204114,,14.476,74.4248780487805,1831712.0
Northern Mariana Islands,,22.2627737226277,16.6427546628408,23785.754590043,,,,,,,,78.531,46078.0
Norway,5.76412317852272,55.4998207714937,3.24622860260932,109269.520580298,,98.9667587280273,3.96801972389221,96.0,7.94803333,26.9,3.231,82.509756097561,5457127.0
Oman,2.5061425061425,63.2505019129513,7.98570728354278,23223.5829405935,97.0,90.096809387207,4.19907999038696,97.0,2.9162159,,3.3,77.911,4730226.0
Pakistan,19.8738599646655,10.5405902721041,4.7781068690358,1538.3228133171,,82.6790063159857,1.97444903850555,82.0,2.90434051,,5.485,67.417,243700667.0
Palau,12.3526638378124,13.4632230934489,-1.31842716655024,14392.2011374514,,88.271186440678,3.57620143890381,96.0,14.28555965,,,68.922,17759.0
Panama,2.85965128834711,48.1174394920396,10.769665870619,17332.4360742988,,100.875396728516,3.36693000793457,87.0,8.46561432,,8.086,79.324,4400773.0
Papua New Guinea,5.25323922215241,,5.70758404238197,3102.28968594061,,,,41.0,2.61825109,,2.689,65.274,10203169.0
Paraguay,9.76556667164402,34.3693845850371,0.176038366124061,6205.6259537937,,93.2309494018555,3.39619994163513,54.0,7.73804235,44.8,6.755,72.319,6760464.0
Peru,8.33370630096231,28.8318607701975,2.8090335533015,7350.63034300417,,107.663269042969,3.83315992355347,74.0,6.0930872,40.3,3.85,76.834,33475438.0
Philippines,5.82115811213955,28.3874015457939,7.58098212785563,3548.06930572116,,91.8715546202869,3.57960081100464,76.0,5.15676308,,2.598,69.472,113964338.0
